line,order,stationName,lat,lng,hasElevatorInstalled,hasLiftInstalled
S1105,43,고덕,37.555002,127.154214,true,false
S1105,44,상일동,37.556714,127.166381,true,false
S1105,45,강일,37.557521,127.176018,true,false
S1105,46,미사,37.56309,127.192954,true,false
S1105,47,하남풍산,37.552201,127.203897,true,false
S1105,48,하남시청(덕풍∙신장),37.541723,127.206901,true,false
S1105,49,하남검단산,37.539729,127.223427,true,false
S1105,50,마천,37.494972,127.152784,true,false
S1105,51,거여,37.493208,127.143983,true,false
S1105,52,개롱,37.498097,127.134817,true,false
S1105,53,오금,37.502228,127.127701,true,false
S1105,54,방이,37.508752,127.126054,true,false
S1105,55,올림픽공원(한국체대),37.516217,127.130957,true,false
S1105,56,둔촌동,37.527787,127.136219,true,false
S1106,1,신내,37.612571,127.104326,true,false
S1106,2,봉화산(서울의료원),37.617429,127.0912326,true,false
S1106,3,화랑대(서울여대입구),37.619875,127.084106,true,false
S1106,4,태릉입구,37.617319,127.074741,true,false
S1106,5,석계,37.614937,127.065922,true,false
S1106,6,돌곶이,37.610522,127.056419,true,false
S1106,7,상월곡(한국과학기술연구원),37.606392,127.048509,true,false
S1106,8,월곡(동덕여대),37.60192,127.041492,true,false
S1106,9,고려대(종암),37.59034,127.03626,true,false
S1106,10,안암(고대병원앞),37.586261,127.02903,true,false
S1106,11,보문,37.585426,127.019722,true,false
S1106,12,창신,37.579772,127.015246,true,false
S1106,13,동묘앞,37.572275,127.015666,true,false
S1106,14,신당,37.566174,127.016158,true,false
S1106,15,청구,37.560221,127.013776,true,false
S1106,16,약수,37.554087,127.010237,true,false
S1106,17,버티고개,37.547933,127.006948,true,false
S1106,18,한강진,37.53956,127.001729,true,false
S1106,19,이태원,37.534485,126.994369,true,false
S1106,20,녹사평(용산구청),37.53469,126.98665,true,false
S1106,21,삼각지(전쟁기념관),37.535563,126.973996,true,false
S1106,22,효창공원앞,37.539279,126.961348,true,false
S1106,23,공덕,37.543592,126.951664,true,false
S1106,24,대흥(서강대앞),37.547732,126.942214,true,false
S1106,25,광흥창(서강),37.547464,126.931971,true,false
S1106,26,상수,37.547704,126.92292,true,false
S1106,27,합정,37.549033,126.913546,true,false
S1106,28,망원,37.556031,126.910129,true,false
S1106,29,마포구청,37.563529,126.903356,true,false
S1106,30,월드컵경기장(성산),37.569439,126.899077,true,false
S1106,31,디지털미디어시티,37.5760805,126.901343,true,false
S1106,32,증산(명지대앞),37.583989,126.909785,true,false
S1106,33,새절(신사),37.591148,126.913613,true,false
S1106,34,응암,37.59859,126.915583,true,false
S1106,35,역촌,37.60605,126.922764,true,false
S1106,36,구산,37.611196,126.9172519,true,false
S1106,37,연신내,37.618483,126.920403,true,false
S1106,38,불광,37.610919,126.929504,true,false
S1106,39,독바위,37.618413,126.933035,true,false
S1107,1,석남(거북시장),37.506208,126.676213,true,false
S1107,2,산곡,37.508547,126.70351,true,false
S1107,3,부평구청,37.507523,126.721356,true,false
S1107,4,굴포천,37.50695,126.731481,true,false
S1107,5,삼산체육관,37.506431,126.742081,true,false
S1107,6,상동,37.505769,126.753081,true,false
S1107,7,부천시청,37.504611,126.763561,true,false
S1107,8,신중동,37.503081,126.776161,true,false
S1107,9,춘의,37.50365,126.787069,true,false
S1107,10,부천종합운동장,37.505381,126.79735,true,false
S1107,11,까치울,37.506236,126.81095,true,false
S1107,12,온수(성공회대입구),37.492059,126.823294,true,false
S1107,13,천왕,37.486699,126.838684,true,false
S1107,14,광명사거리,37.47927,126.854854,true,false
S1107,15,철산,37.47616,126.868217,true,false
S1107,16,가산디지털단지,37.480376,126.882704,true,false
S1107,17,남구로,37.486181,126.887372,true,false
S1107,18,대림(구로구청),37.492984,126.896997,true,false
S1107,19,신풍,37.500107,126.909806,true,false
S1107,20,보라매,37.499916,126.920112,true,false
